# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2201g4303	110.5478075		-3.97684893		g		20
2201r4303	110.5478075		-3.97684893		r		20
2201i4303	110.5478075		-3.97684893		i		20
2231i4303	111.95213711	-6.61818287		i		20
2231r4303	111.95213711	-6.61818287		r		20
2231g4303	111.95213711	-6.61818287		g		20
2261g4303	113.38373271	-9.2490713		g		20
2261r4303	113.38373271	-9.2490713		r		20
2261i4303	113.38373271	-9.2490713		i		20
2291i4303	114.84909508	-11.8676266		i		20
2291r4303	114.84909508	-11.8676266		r		20
2291g4303	114.84909508	-11.8676266		g		20
2321g4303	116.35511714	-14.47179442	g		20
2321r4303	116.35511714	-14.47179442	r		20
2321i4303	116.35511714	-14.47179442	i		20
2351i4303	117.90918254	-17.05931638	i		20
2351r4303	117.90918254	-17.05931638	r		20
2351g4303	117.90918254	-17.05931638	g		20
2381g4303	119.51927126	-19.62768753	g		20
2381r4303	119.51927126	-19.62768753	r		20
2381i4303	119.51927126	-19.62768753	i		20
2411i4303	121.19407331	-22.17410723	i		20
2411r4303	121.19407331	-22.17410723	r		20
2411g4303	121.19407331	-22.17410723	g		20
2441g4303	122.94311091	-24.69542203	g		20
2441r4303	122.94311091	-24.69542203	r		20
2441i4303	122.94311091	-24.69542203	i		20
2471i4303	124.77686845	-27.18805908	i		20
2471r4303	124.77686845	-27.18805908	r		20
2471g4303	124.77686845	-27.18805908	g		20
2501g4303	126.70692823	-29.64794821	g		20
2501r4303	126.70692823	-29.64794821	r		20
2501i4303	126.70692823	-29.64794821	i		20
2500i4303	116.7270839		-35.04030633	i		20
2500r4303	116.7270839		-35.04030633	r		20
2500g4303	116.7270839		-35.04030633	g		20
2470g4303	114.95817616	-32.43861878	g		20
2470r4303	114.95817616	-32.43861878	r		20
2470i4303	114.95817616	-32.43861878	i		20
2440i4303	113.27514763	-29.82005679	i		20
2440r4303	113.27514763	-29.82005679	r		20
2440g4303	113.27514763	-29.82005679	g		20
2410g4303	111.66484927	-27.18760786	g		20
2410r4303	111.66484927	-27.18760786	r		20
2410i4303	111.66484927	-27.18760786	i		20
2380i4303	110.11577334	-24.54387809	i		20
2380r4303	110.11577334	-24.54387809	r		20
2380g4303	110.11577334	-24.54387809	g		20
2350g4303	108.61775582	-21.89117042	g		20
2350r4303	108.61775582	-21.89117042	r		20
2350i4303	108.61775582	-21.89117042	i		20
2320i4303	107.16172785	-19.23154822	i		20
2320r4303	107.16172785	-19.23154822	r		20
2320g4303	107.16172785	-19.23154822	g		20
2290g4303	105.73950697	-16.5668878		g		20
2290r4303	105.73950697	-16.5668878		r		20
2290i4303	105.73950697	-16.5668878		i		20
2260i4303	104.3436205		-13.89892227	i		20
2260r4303	104.3436205		-13.89892227	r		20
2260g4303	104.3436205		-13.89892227	g		20
2230g4303	102.96715443	-11.22927899	g		20
2230r4303	102.96715443	-11.22927899	r		20
2230i4303	102.96715443	-11.22927899	i		20
2200i4303	101.6036224		-8.55951219		i		20
2200r4303	101.6036224		-8.55951219		r		20
2200g4303	101.6036224		-8.55951219		g		20
2200g5303	101.6036224		-8.55951219		g		20
2200r5303	101.6036224		-8.55951219		r		20
2200i5303	101.6036224		-8.55951219		i		20
2230i5303	102.96715443	-11.22927899	i		20
2230r5303	102.96715443	-11.22927899	r		20
2230g5303	102.96715443	-11.22927899	g		20
2260g5303	104.3436205		-13.89892227	g		20
2260r5303	104.3436205		-13.89892227	r		20
2260i5303	104.3436205		-13.89892227	i		20
2290i5303	105.73950697	-16.5668878		i		20
2290r5303	105.73950697	-16.5668878		r		20
2290g5303	105.73950697	-16.5668878		g		20
2320g5303	107.16172785	-19.23154822	g		20
2320r5303	107.16172785	-19.23154822	r		20
2320i5303	107.16172785	-19.23154822	i		20
2350i5303	108.61775582	-21.89117042	i		20
2350r5303	108.61775582	-21.89117042	r		20
2350g5303	108.61775582	-21.89117042	g		20
2380g5303	110.11577334	-24.54387809	g		20
2380r5303	110.11577334	-24.54387809	r		20
2380i5303	110.11577334	-24.54387809	i		20
2410i5303	111.66484927	-27.18760786	i		20
2410r5303	111.66484927	-27.18760786	r		20
