# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2141g6316 107.79635122   1.3302442      g    20
2141r6316 107.79635122   1.3302442      r    20
2141i6316 107.79635122   1.3302442      i    20
2171i6316 109.16454244   -1.32682329    i    20
2171r6316 109.16454244   -1.32682329    r    20
2171g6316 109.16454244   -1.32682329    g    20
2201g6316 110.5478075    -3.97684893    g    20
2201r6316 110.5478075    -3.97684893    r    20
2201i6316 110.5478075    -3.97684893    i    20
2231i6316 111.95213711   -6.61818287    i    20
2231r6316 111.95213711   -6.61818287    r    20
2231g6316 111.95213711   -6.61818287    g    20
2261g6316 113.38373271   -9.2490713     g    20
2261r6316 113.38373271   -9.2490713     r    20
2261i6316 113.38373271   -9.2490713     i    20
2291i6316 114.84909508   -11.8676266    i    20
2291r6316 114.84909508   -11.8676266    r    20
2291g6316 114.84909508   -11.8676266    g    20
2321g6316 116.35511714   -14.47179442   g    20
2321r6316 116.35511714   -14.47179442   r    20
2321i6316 116.35511714   -14.47179442   i    20
2320i6316 107.16172785   -19.23154822   i    20
2320r6316 107.16172785   -19.23154822   r    20
2320g6316 107.16172785   -19.23154822   g    20
2290g6316 105.73950697   -16.5668878    g    20
2290r6316 105.73950697   -16.5668878    r    20
2290i6316 105.73950697   -16.5668878    i    20
2260i6316 104.3436205    -13.89892227   i    20
2260r6316 104.3436205    -13.89892227   r    20
2260g6316 104.3436205    -13.89892227   g    20
2230g6316 102.96715443   -11.22927899   g    20
2230r6316 102.96715443   -11.22927899   r    20
2230i6316 102.96715443   -11.22927899   i    20
2200i6316 101.6036224    -8.55951219    i    20
2200r6316 101.6036224    -8.55951219    r    20
2200g6316 101.6036224    -8.55951219    g    20
2170g6316 100.24685016   -5.8911321     g    20
2170r6316 100.24685016   -5.8911321     r    20
2170i6316 100.24685016   -5.8911321     i    20
2140i6316 98.89087181    -3.22563177    i    20
2140r6316 98.89087181    -3.22563177    r    20
2140g6316 98.89087181    -3.22563177    g    20
2110g6316 97.52983433    -0.56451246    g    20
2110r6316 97.52983433    -0.56451246    r    20
2110i6316 97.52983433    -0.56451246    i    20
2080i6316 96.15790785    2.09069148     i    20
2080r6316 96.15790785    2.09069148     r    20
2080g6316 96.15790785    2.09069148     g    20
2050g6316 94.76919904    4.73838752     g    20
2050r6316 94.76919904    4.73838752     r    20
2050i6316 94.76919904    4.73838752     i    20
2020i6316 93.35766541    7.37689878     i    20
2020r6316 93.35766541    7.37689878     r    20
2020g6316 93.35766541    7.37689878     g    20
2020g7316 93.35766541    7.37689878     g    20
2020r7316 93.35766541    7.37689878     r    20
2020i7316 93.35766541    7.37689878     i    20
2050i7316 94.76919904    4.73838752     i    20
2050r7316 94.76919904    4.73838752     r    20
2050g7316 94.76919904    4.73838752     g    20
2080g7316 96.15790785    2.09069148     g    20
2080r7316 96.15790785    2.09069148     r    20
2080i7316 96.15790785    2.09069148     i    20
2110i7316 97.52983433    -0.56451246    i    20
2110r7316 97.52983433    -0.56451246    r    20
2110g7316 97.52983433    -0.56451246    g    20
2140g7316 98.89087181    -3.22563177    g    20
2140r7316 98.89087181    -3.22563177    r    20
2140i7316 98.89087181    -3.22563177    i    20
2170i7316 100.24685016   -5.8911321     i    20
2170r7316 100.24685016   -5.8911321     r    20
2170g7316 100.24685016   -5.8911321     g    20
2200g7316 101.6036224    -8.55951219    g    20
2200r7316 101.6036224    -8.55951219    r    20
2200i7316 101.6036224    -8.55951219    i    20
2230i7316 102.96715443   -11.22927899   i    20
2230r7316 102.96715443   -11.22927899   r    20
2230g7316 102.96715443   -11.22927899   g    20
2260g7316 104.3436205    -13.89892227   g    20
2260r7316 104.3436205    -13.89892227   r    20
2260i7316 104.3436205    -13.89892227   i    20
2290i7316 105.73950697   -16.5668878    i    20
2290r7316 105.73950697   -16.5668878    r    20
2290g7316 105.73950697   -16.5668878    g    20
2320g7316 107.16172785   -19.23154822   g    20
2320r7316 107.16172785   -19.23154822   r    20
2320i7316 107.16172785   -19.23154822   i    20
2321i7316 116.35511714   -14.47179442   i    20
2321r7316 116.35511714   -14.47179442   r    20
2321g7316 116.35511714   -14.47179442   g    20
2291g7316 114.84909508   -11.8676266    g    20
2291r7316 114.84909508   -11.8676266    r    20
2291i7316 114.84909508   -11.8676266    i    20
2261i7316 113.38373271   -9.2490713     i    20
2261r7316 113.38373271   -9.2490713     r    20
2261g7316 113.38373271   -9.2490713     g    20
2231g7316 111.95213711   -6.61818287    g    20
2231r7316 111.95213711   -6.61818287    r    20
2231i7316 111.95213711   -6.61818287    i    20
2201i7316 110.5478075    -3.97684893    i    20
2201r7316 110.5478075    -3.97684893    r    20
2201g7316 110.5478075    -3.97684893    g    20
2171g7316 109.16454244   -1.32682329    g    20
2171r7316 109.16454244   -1.32682329    r    20
2171i7316 109.16454244   -1.32682329    i    20
2141i7316 107.79635122   1.3302442      i    20
2141r7316 107.79635122   1.3302442      r    20
2141g7316 107.79635122   1.3302442      g    20
2111g7316 106.43736755   3.99278039     g    20
2111r7316 106.43736755   3.99278039     r    20
2111i7316 106.43736755   3.99278039     i    20
2081i7316 105.08176387   6.65926302     i    20
2081r7316 105.08176387   6.65926302     r    20
2081g7316 105.08176387   6.65926302     g    20
2051g7316 103.72366407   9.32819575     g    20
2051r7316 103.72366407   9.32819575     r    20
2051i7316 103.72366407   9.32819575     i    20
2021i7316 102.35705234   11.99808323    i    20
2021r7316 102.35705234   11.99808323    r    20
2021g7316 102.35705234   11.99808323    g    20
2021g8316 102.35705234   11.99808323    g    20
2021r8316 102.35705234   11.99808323    r    20
2021i8316 102.35705234   11.99808323    i    20
2051i8316 103.72366407   9.32819575     i    20
2051r8316 103.72366407   9.32819575     r    20
2051g8316 103.72366407   9.32819575     g    20
2081g8316 105.08176387   6.65926302     g    20
2081r8316 105.08176387   6.65926302     r    20
2081i8316 105.08176387   6.65926302     i    20
2111i8316 106.43736755   3.99278039     i    20
2111r8316 106.43736755   3.99278039     r    20
2111g8316 106.43736755   3.99278039     g    20
2141g8316 107.79635122   1.3302442      g    20
2141r8316 107.79635122   1.3302442      r    20
2141i8316 107.79635122   1.3302442      i    20
2171i8316 109.16454244   -1.32682329    i    20
2171r8316 109.16454244   -1.32682329    r    20
2171g8316 109.16454244   -1.32682329    g    20
2201g8316 110.5478075    -3.97684893    g    20
2201r8316 110.5478075    -3.97684893    r    20
2201i8316 110.5478075    -3.97684893    i    20
2231i8316 111.95213711   -6.61818287    i    20
2231r8316 111.95213711   -6.61818287    r    20
2231g8316 111.95213711   -6.61818287    g    20
2261g8316 113.38373271   -9.2490713     g    20
2261r8316 113.38373271   -9.2490713     r    20
