# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2051g3310 103.8250041846 9.32819575   g    20
2051r3310 103.8250041846 9.32819575   r    20
2051i3310 103.8250041846 9.32819575   i    20
2021i3310 102.4592856726 11.99808323  i    20
2021r3310 102.4592856726 11.99808323  r    20
2021g3310 102.4592856726 11.99808323  g    20
2021g4310 102.4592856726 11.99808323  g    20
2021r4310 102.4592856726 11.99808323  r    20
2021i4310 102.4592856726 11.99808323  i    20
2051i4310 103.8250041846 9.32819575   i    20
2051r4310 103.8250041846 9.32819575   r    20
2051g4310 103.8250041846 9.32819575   g    20
2081g4310 105.1824431176 6.65926302   g    20
2081r4310 105.1824431176 6.65926302   r    20
2081i4310 105.1824431176 6.65926302   i    20
2111i4310 106.5376108573 3.99278039   i    20
2111r4310 106.5376108573 3.99278039   r    20
2111g4310 106.5376108573 3.99278039   g    20
2141g4310 107.8963781778 1.3302442    g    20
2141r4310 107.8963781778 1.3302442    r    20
2141i4310 107.8963781778 1.3302442    i    20
2171i4310 109.2645692593 -1.32682329  i    20
2171r4310 109.2645692593 -1.32682329  r    20
2171g4310 109.2645692593 -1.32682329  g    20
2201g4310 110.6480488657 -3.97684893  g    20
2201r4310 110.6480488657 -3.97684893  r    20
2201i4310 110.6480488657 -3.97684893  i    20
2231i4310 112.0528079563 -6.61818287  i    20
2231r4310 112.0528079563 -6.61818287  r    20
2231g4310 112.0528079563 -6.61818287  g    20
2261g4310 113.4850499381 -9.2490713   g    20
2261r4310 113.4850499381 -9.2490713   r    20
2261i4310 113.4850499381 -9.2490713   i    20
2291i4310 114.9512792316 -11.8676266  i    20
2291r4310 114.9512792316 -11.8676266  r    20
2291g4310 114.9512792316 -11.8676266  g    20
2321g4310 116.4583940353 -14.47179442 g    20
2321r4310 116.4583940353 -14.47179442 r    20
2321i4310 116.4583940353 -14.47179442 i    20
2320i4310 107.2676381593 -19.23154822 i    20
2320r4310 107.2676381593 -19.23154822 r    20
2320g4310 107.2676381593 -19.23154822 g    20
2290g4310 105.8438380104 -16.5668878  g    20
2290r4310 105.8438380104 -16.5668878  r    20
2290i4310 105.8438380104 -16.5668878  i    20
2260i4310 104.4466367117 -13.89892227 i    20
2260r4310 104.4466367117 -13.89892227 r    20
2260g4310 104.4466367117 -13.89892227 g    20
2230g4310 103.0691062184 -11.22927899 g    20
2230r4310 103.0691062184 -11.22927899 r    20
2230i4310 103.0691062184 -11.22927899 i    20
2200i4310 101.7047487654 -8.55951219  i    20
2200r4310 101.7047487654 -8.55951219  r    20
2200g4310 101.7047487654 -8.55951219  g    20
2170g4310 100.3473810925 -5.8911321   g    20
2170r4310 100.3473810925 -5.8911321   r    20
2170i4310 100.3473810925 -5.8911321   i    20
2140i4310 98.9910304922  -3.22563177  i    20
2140r4310 98.9910304922  -3.22563177  r    20
2140g4310 98.9910304922  -3.22563177  g    20
2110g4310 97.6298391839  -0.56451246  g    20
2110r4310 97.6298391839  -0.56451246  r    20
2110i4310 97.6298391839  -0.56451246  i    20
2080i4310 96.2579744610  2.09069148   i    20
2080r4310 96.2579744610  2.09069148   r    20
2080g4310 96.2579744610  2.09069148   g    20
2050g4310 94.8695419856  4.73838752   g    20
2050r4310 94.8695419856  4.73838752   r    20
2050i4310 94.8695419856  4.73838752   i    20
2020i4310 93.4585000169  7.37689878   i    20
2020r4310 93.4585000169  7.37689878   r    20
2020g4310 93.4585000169  7.37689878   g    20
2020g5310 93.4585000169  7.37689878   g    20
2020r5310 93.4585000169  7.37689878   r    20
2020i5310 93.4585000169  7.37689878   i    20
2050i5310 94.8695419856  4.73838752   i    20
2050r5310 94.8695419856  4.73838752   r    20
2050g5310 94.8695419856  4.73838752   g    20
2080g5310 96.2579744610  2.09069148   g    20
2080r5310 96.2579744610  2.09069148   r    20
2080i5310 96.2579744610  2.09069148   i    20
2110i5310 97.6298391839  -0.56451246  i    20
2110r5310 97.6298391839  -0.56451246  r    20
2110g5310 97.6298391839  -0.56451246  g    20
2140g5310 98.9910304922  -3.22563177  g    20
2140r5310 98.9910304922  -3.22563177  r    20
2140i5310 98.9910304922  -3.22563177  i    20
2170i5310 100.3473810925 -5.8911321	  i    20
2170r5310 100.3473810925 -5.8911321	  r    20
2170g5310 100.3473810925 -5.8911321	  g    20
2200g5310 101.7047487654 -8.55951219  g    20
2200r5310 101.7047487654 -8.55951219  r    20
2200i5310 101.7047487654 -8.55951219  i    20
2230i5310 103.0691062184 -11.22927899 i    20
2230r5310 103.0691062184 -11.22927899 r    20
2230g5310 103.0691062184 -11.22927899 g    20
2260g5310 104.4466367117 -13.89892227 g    20
2260r5310 104.4466367117 -13.89892227 r    20
2260i5310 104.4466367117 -13.89892227 i    20
2290i5310 105.8438380104 -16.5668878  i    20
2290r5310 105.8438380104 -16.5668878  r    20
2290g5310 105.8438380104 -16.5668878  g    20
2320g5310 107.2676381593 -19.23154822 g    20
2320r5310 107.2676381593 -19.23154822 r    20
2320i5310 107.2676381593 -19.23154822 i    20
2321i5310 116.4583940353 -14.47179442 i    20
2321r5310 116.4583940353 -14.47179442 r    20
2321g5310 116.4583940353 -14.47179442 g    20
2291g5310 114.9512792316 -11.8676266  g    20
2291r5310 114.9512792316 -11.8676266  r    20
2291i5310 114.9512792316 -11.8676266  i    20
2261i5310 113.4850499381 -9.2490713   i    20
2261r5310 113.4850499381 -9.2490713   r    20
2261g5310 113.4850499381 -9.2490713   g    20
2231g5310 112.0528079563 -6.61818287  g    20
2231r5310 112.0528079563 -6.61818287  r    20
2231i5310 112.0528079563 -6.61818287  i    20
2201i5310 110.6480488657 -3.97684893  i    20
2201r5310 110.6480488657 -3.97684893  r    20
2201g5310 110.6480488657 -3.97684893  g    20
2171g5310 109.2645692593 -1.32682329  g    20
2171r5310 109.2645692593 -1.32682329  r    20
2171i5310 109.2645692593 -1.32682329  i    20
2141i5310 107.8963781778 1.3302442    i    20
2141r5310 107.8963781778 1.3302442    r    20
2141g5310 107.8963781778 1.3302442    g    20
2111g5310 106.5376108573 3.99278039   g    20
2111r5310 106.5376108573 3.99278039   r    20
2111i5310 106.5376108573 3.99278039   i    20
2081i5310 105.1824431176 6.65926302   i    20
2081r5310 105.1824431176 6.65926302   r    20
2081g5310 105.1824431176 6.65926302   g    20
2051g5310 103.8250041846 9.32819575   g    20
2051r5310 103.8250041846 9.32819575   r    20
2051i5310 103.8250041846 9.32819575   i    20
2021i5310 102.4592856726 11.99808323  i    20
2021r5310 102.4592856726 11.99808323  r    20
2021g5310 102.4592856726 11.99808323  g    20
2021g6310 102.4592856726 11.99808323  g    20
2021r6310 102.4592856726 11.99808323  r    20
2021i6310 102.4592856726 11.99808323  i    20
2051i6310 103.8250041846 9.32819575   i    20
2051r6310 103.8250041846 9.32819575   r    20
2051g6310 103.8250041846 9.32819575   g    20
2081g6310 105.1824431176 6.65926302   g    20
2081r6310 105.1824431176 6.65926302   r    20
2081i6310 105.1824431176 6.65926302   i    20
2111i6310 106.5376108573 3.99278039   i    20
2111r6310 106.5376108573 3.99278039   r    20
2111g6310 106.5376108573 3.99278039   g    20
2141g6310 107.8963781778 1.3302442    g    20
2141r6310 107.8963781778 1.3302442    r    20
2141i6310 107.8963781778 1.3302442    i    20
2171i6310 109.2645692593 -1.32682329  i    20
2171r6310 109.2645692593 -1.32682329  r    20
2171g6310 109.2645692593 -1.32682329  g    20
2201g6310 110.6480488657 -3.97684893  g    20
2201r6310 110.6480488657 -3.97684893  r    20
2201i6310 110.6480488657 -3.97684893  i    20
2231i6310 112.0528079563 -6.61818287  i    20
2231r6310 112.0528079563 -6.61818287  r    20
2231g6310 112.0528079563 -6.61818287  g    20
2261g6310 113.4850499381 -9.2490713   g    20
2261r6310 113.4850499381 -9.2490713   r    20
2261i6310 113.4850499381 -9.2490713   i    20
2291i6310 114.9512792316 -11.8676266  i    20
2291r6310 114.9512792316 -11.8676266  r    20
2291g6310 114.9512792316 -11.8676266  g    20
2321g6310 116.4583940353 -14.47179442 g    20
2321r6310 116.4583940353 -14.47179442 r    20
2321i6310 116.4583940353 -14.47179442 i    20
2320i6310 107.2676381593 -19.23154822 i    20
2320r6310 107.2676381593 -19.23154822 r    20
2320g6310 107.2676381593 -19.23154822 g    20
2290g6310 105.8438380104 -16.5668878  g    20
2290r6310 105.8438380104 -16.5668878  r    20
2290i6310 105.8438380104 -16.5668878  i    20
2260i6310 104.4466367117 -13.89892227 i    20
2260r6310 104.4466367117 -13.89892227 r    20
2260g6310 104.4466367117 -13.89892227 g    20
2230g6310 103.0691062184 -11.22927899 g    20
2230r6310 103.0691062184 -11.22927899 r    20
2230i6310 103.0691062184 -11.22927899 i    20
2200i6310 101.7047487654 -8.55951219  i    20
2200r6310 101.7047487654 -8.55951219  r    20
2200g6310 101.7047487654 -8.55951219  g    20
2170g6310 100.3473810925 -5.8911321   g    20
2170r6310 100.3473810925 -5.8911321   r    20
2170i6310 100.3473810925 -5.8911321   i    20
2140i6310 98.9910304922  -3.22563177  i    20
2140r6310 98.9910304922  -3.22563177  r    20
2140g6310 98.9910304922  -3.22563177  g    20
2110g6310 97.6298391839  -0.56451246  g    20
2110r6310 97.6298391839  -0.56451246  r    20
2110i6310 97.6298391839  -0.56451246  i    20
2080i6310 96.2579744610  2.09069148   i    20
2080r6310 96.2579744610  2.09069148   r    20
