# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2111g4313 106.5376108573 3.99278039   g    20
2141g4313 107.8963781778 1.3302442    g    20
2141r4313 107.8963781778 1.3302442    r    20
2141i4313 107.8963781778 1.3302442    i    20
2171i4313 109.2645692593 -1.32682329  i    20
2171r4313 109.2645692593 -1.32682329  r    20
2171g4313 109.2645692593 -1.32682329  g    20
2201g4313 110.6480488657 -3.97684893  g    20
2201r4313 110.6480488657 -3.97684893  r    20
2201i4313 110.6480488657 -3.97684893  i    20
2231i4313 112.0528079563 -6.61818287  i    20
2231r4313 112.0528079563 -6.61818287  r    20
2231g4313 112.0528079563 -6.61818287  g    20
2261g4313 113.4850499381 -9.2490713   g    20
2261r4313 113.4850499381 -9.2490713   r    20
2261i4313 113.4850499381 -9.2490713   i    20
2291i4313 114.9512792316 -11.8676266  i    20
2291r4313 114.9512792316 -11.8676266  r    20
2291g4313 114.9512792316 -11.8676266  g    20
2321g4313 116.4583940353 -14.47179442 g    20
2321r4313 116.4583940353 -14.47179442 r    20
2321i4313 116.4583940353 -14.47179442 i    20
2320i4313 107.2676381593 -19.23154822 i    20
2320r4313 107.2676381593 -19.23154822 r    20
2320g4313 107.2676381593 -19.23154822 g    20
2290g4313 105.8438380104 -16.5668878  g    20
2290r4313 105.8438380104 -16.5668878  r    20
2290i4313 105.8438380104 -16.5668878  i    20
2260i4313 104.4466367117 -13.89892227 i    20
2260r4313 104.4466367117 -13.89892227 r    20
2260g4313 104.4466367117 -13.89892227 g    20
2230g4313 103.0691062184 -11.22927899 g    20
2230r4313 103.0691062184 -11.22927899 r    20
2230i4313 103.0691062184 -11.22927899 i    20
2200i4313 101.7047487654 -8.55951219  i    20
2200r4313 101.7047487654 -8.55951219  r    20
2200g4313 101.7047487654 -8.55951219  g    20
2170g4313 100.3473810925 -5.8911321   g    20
2170r4313 100.3473810925 -5.8911321   r    20
2170i4313 100.3473810925 -5.8911321   i    20
2140i4313 98.9910304922  -3.22563177  i    20
2140r4313 98.9910304922  -3.22563177  r    20
2140g4313 98.9910304922  -3.22563177  g    20
2110g4313 97.6298391839  -0.56451246  g    20
2110r4313 97.6298391839  -0.56451246  r    20
2110i4313 97.6298391839  -0.56451246  i    20
2080i4313 96.2579744610  2.09069148   i    20
2080r4313 96.2579744610  2.09069148   r    20
2080g4313 96.2579744610  2.09069148   g    20
2050g4313 94.8695419856  4.73838752   g    20
2050r4313 94.8695419856  4.73838752   r    20
2050i4313 94.8695419856  4.73838752   i    20
2020i4313 93.4585000169  7.37689878   i    20
2020r4313 93.4585000169  7.37689878   r    20
2020g4313 93.4585000169  7.37689878   g    20
2020g5313 93.4585000169  7.37689878   g    20
2020r5313 93.4585000169  7.37689878   r    20
2020i5313 93.4585000169  7.37689878   i    20
2050i5313 94.8695419856  4.73838752   i    20
2050r5313 94.8695419856  4.73838752   r    20
2050g5313 94.8695419856  4.73838752   g    20
2080g5313 96.2579744610  2.09069148   g    20
2080r5313 96.2579744610  2.09069148   r    20
2080i5313 96.2579744610  2.09069148   i    20
2110i5313 97.6298391839  -0.56451246  i    20
2110r5313 97.6298391839  -0.56451246  r    20
2110g5313 97.6298391839  -0.56451246  g    20
2140g5313 98.9910304922  -3.22563177  g    20
2140r5313 98.9910304922  -3.22563177  r    20
2140i5313 98.9910304922  -3.22563177  i    20
2170i5313 100.3473810925 -5.8911321	  i    20
2170r5313 100.3473810925 -5.8911321	  r    20
2170g5313 100.3473810925 -5.8911321	  g    20
2200g5313 101.7047487654 -8.55951219  g    20
2200r5313 101.7047487654 -8.55951219  r    20
2200i5313 101.7047487654 -8.55951219  i    20
2230i5313 103.0691062184 -11.22927899 i    20
2230r5313 103.0691062184 -11.22927899 r    20
2230g5313 103.0691062184 -11.22927899 g    20
2260g5313 104.4466367117 -13.89892227 g    20
2260r5313 104.4466367117 -13.89892227 r    20
2260i5313 104.4466367117 -13.89892227 i    20
2290i5313 105.8438380104 -16.5668878  i    20
2290r5313 105.8438380104 -16.5668878  r    20
2290g5313 105.8438380104 -16.5668878  g    20
2320g5313 107.2676381593 -19.23154822 g    20
2320r5313 107.2676381593 -19.23154822 r    20
2320i5313 107.2676381593 -19.23154822 i    20
2321i5313 116.4583940353 -14.47179442 i    20
2321r5313 116.4583940353 -14.47179442 r    20
2321g5313 116.4583940353 -14.47179442 g    20
2291g5313 114.9512792316 -11.8676266  g    20
2291r5313 114.9512792316 -11.8676266  r    20
2291i5313 114.9512792316 -11.8676266  i    20
2261i5313 113.4850499381 -9.2490713   i    20
2261r5313 113.4850499381 -9.2490713   r    20
2261g5313 113.4850499381 -9.2490713   g    20
2231g5313 112.0528079563 -6.61818287  g    20
2231r5313 112.0528079563 -6.61818287  r    20
2231i5313 112.0528079563 -6.61818287  i    20
2201i5313 110.6480488657 -3.97684893  i    20
2201r5313 110.6480488657 -3.97684893  r    20
2201g5313 110.6480488657 -3.97684893  g    20
2171g5313 109.2645692593 -1.32682329  g    20
2171r5313 109.2645692593 -1.32682329  r    20
2171i5313 109.2645692593 -1.32682329  i    20
2141i5313 107.8963781778 1.3302442    i    20
2141r5313 107.8963781778 1.3302442    r    20
2141g5313 107.8963781778 1.3302442    g    20
2111g5313 106.5376108573 3.99278039   g    20
2111r5313 106.5376108573 3.99278039   r    20
2111i5313 106.5376108573 3.99278039   i    20
2081i5313 105.1824431176 6.65926302   i    20
2081r5313 105.1824431176 6.65926302   r    20
2081g5313 105.1824431176 6.65926302   g    20
2051g5313 103.8250041846 9.32819575   g    20
2051r5313 103.8250041846 9.32819575   r    20
2051i5313 103.8250041846 9.32819575   i    20
2021i5313 102.4592856726 11.99808323  i    20
2021r5313 102.4592856726 11.99808323  r    20
2021g5313 102.4592856726 11.99808323  g    20
2021g6313 102.4592856726 11.99808323  g    20
2021r6313 102.4592856726 11.99808323  r    20
2021i6313 102.4592856726 11.99808323  i    20
2051i6313 103.8250041846 9.32819575   i    20
2051r6313 103.8250041846 9.32819575   r    20
2051g6313 103.8250041846 9.32819575   g    20
2081g6313 105.1824431176 6.65926302   g    20
2081r6313 105.1824431176 6.65926302   r    20
2081i6313 105.1824431176 6.65926302   i    20
2111i6313 106.5376108573 3.99278039   i    20
2111r6313 106.5376108573 3.99278039   r    20
2111g6313 106.5376108573 3.99278039   g    20
2141g6313 107.8963781778 1.3302442    g    20
