# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2141i6314 107.79635122   1.3302442      i    20
2171i6314 109.16454244   -1.32682329    i    20
2171r6314 109.16454244   -1.32682329    r    20
2171g6314 109.16454244   -1.32682329    g    20
2201g6314 110.5478075    -3.97684893    g    20
2201r6314 110.5478075    -3.97684893    r    20
2201i6314 110.5478075    -3.97684893    i    20
2231i6314 111.95213711   -6.61818287    i    20
2231r6314 111.95213711   -6.61818287    r    20
2231g6314 111.95213711   -6.61818287    g    20
2261g6314 113.38373271   -9.2490713     g    20
2261r6314 113.38373271   -9.2490713     r    20
2261i6314 113.38373271   -9.2490713     i    20
2291i6314 114.84909508   -11.8676266    i    20
2291r6314 114.84909508   -11.8676266    r    20
2291g6314 114.84909508   -11.8676266    g    20
2321g6314 116.35511714   -14.47179442   g    20
2321r6314 116.35511714   -14.47179442   r    20
2321i6314 116.35511714   -14.47179442   i    20
2320i6314 107.16172785   -19.23154822   i    20
2320r6314 107.16172785   -19.23154822   r    20
2320g6314 107.16172785   -19.23154822   g    20
2290g6314 105.73950697   -16.5668878    g    20
2290r6314 105.73950697   -16.5668878    r    20
2290i6314 105.73950697   -16.5668878    i    20
2260i6314 104.3436205    -13.89892227   i    20
2260r6314 104.3436205    -13.89892227   r    20
2260g6314 104.3436205    -13.89892227   g    20
2230g6314 102.96715443   -11.22927899   g    20
2230r6314 102.96715443   -11.22927899   r    20
2230i6314 102.96715443   -11.22927899   i    20
2200i6314 101.6036224    -8.55951219    i    20
2200r6314 101.6036224    -8.55951219    r    20
2200g6314 101.6036224    -8.55951219    g    20
2170g6314 100.24685016   -5.8911321     g    20
2170r6314 100.24685016   -5.8911321     r    20
2170i6314 100.24685016   -5.8911321     i    20
2140i6314 98.89087181    -3.22563177    i    20
2140r6314 98.89087181    -3.22563177    r    20
2140g6314 98.89087181    -3.22563177    g    20
2110g6314 97.52983433    -0.56451246    g    20
2110r6314 97.52983433    -0.56451246    r    20
2110i6314 97.52983433    -0.56451246    i    20
2080i6314 96.15790785    2.09069148     i    20
2080r6314 96.15790785    2.09069148     r    20
2080g6314 96.15790785    2.09069148     g    20
2050g6314 94.76919904    4.73838752     g    20
2050r6314 94.76919904    4.73838752     r    20
2050i6314 94.76919904    4.73838752     i    20
2020i6314 93.35766541    7.37689878     i    20
2020r6314 93.35766541    7.37689878     r    20
2020g6314 93.35766541    7.37689878     g    20
2020g7314 93.35766541    7.37689878     g    20
2020r7314 93.35766541    7.37689878     r    20
2020i7314 93.35766541    7.37689878     i    20
2050i7314 94.76919904    4.73838752     i    20
2050r7314 94.76919904    4.73838752     r    20
2050g7314 94.76919904    4.73838752     g    20
2080g7314 96.15790785    2.09069148     g    20
2080r7314 96.15790785    2.09069148     r    20
2080i7314 96.15790785    2.09069148     i    20
2110i7314 97.52983433    -0.56451246    i    20
2110r7314 97.52983433    -0.56451246    r    20
2110g7314 97.52983433    -0.56451246    g    20
2140g7314 98.89087181    -3.22563177    g    20
2140r7314 98.89087181    -3.22563177    r    20
